pH,Temperature,Conductivity @25°C,Dissolved Oxygen,BOD - 5 days (Total),Ammonia-Total (as N),ortho-Phosphate (as P) - unspecified,Total Hardness (as CaCO3),True Colour,Is_Potable_By_Normes
6.834,23.465,393.141,5.393,3.96,0.421,0.032,187.644,7.136,1
8.199,1.257,459.079,9.7,4.68,0.322,0.101,131.432,9.357,1
7.455,25.835,342.835,6.388,2.962,0.322,0.119,143.079,11.861,1
3.186,-4.391,-0.521,4.743,7.204,2.658,-1.584,301.355,-0.866,0
12.024,33.604,-3.138,0.937,-3.007,4.248,-1.223,304.815,-0.116,0
10.358,-2.961,503.93,0.487,6.681,-1.826,2.349,300.48,-2.967,0
7.439,5.653,228.351,11.345,0.192,0.488,0.107,236.973,2.927,1
12.231,-3.542,-4.241,17.834,-4.182,-3.955,1.59,300.43,15.629,0
10.416,30.259,-4.787,16.771,-4.285,2.085,-2.447,301.75,-3.402,0
9.768,-4.265,-4.925,1.432,8.133,-0.966,-1.807,304.081,-4.642,0
7.75,0.609,54.888,12.659,3.198,0.364,0.182,8.791,4.172,1
4.678,-4.047,504.122,16.781,9.121,0.615,2.374,303.062,-4.003,0
7.378,8.881,111.672,9.695,3.254,0.165,0.012,271.374,14.689,1
11.983,-1.059,501.419,16.97,9.353,-4.739,0.6,-4.237,17.699,0
6.642,22.773,483.48,8.23,0.361,0.234,0.074,105.436,11.637,1
8.624,34.697,504.817,4.309,-0.898,3.138,-4.942,-1.096,17.819,0
10.7,34.892,501.809,15.884,7.282,2.148,-4.035,-4.845,15.458,0
6.049,33.903,502.187,15.285,-1.717,0.909,-3.173,-3.966,19.528,0
9.438,32.216,500.186,4.694,-4.082,-4.686,-2.534,302.94,16.691,0
7.343,21.886,241.321,8.642,2.562,0.389,0.107,14.368,6.132,1
10.035,-1.789,-3.808,18.103,6.911,1.132,-1.073,-0.468,16.484,0
7.114,23.819,133.42,12.432,4.85,0.299,0.05,28.086,2.284,1
7.358,25.288,270.86,12.725,2.671,0.403,0.008,234.91,2.084,1
8.038,8.023,481.081,13.32,1.866,0.251,0.059,103.931,14.83,1
11.771,33.759,501.863,17.198,-1.659,1.66,-3.094,300.507,-3.306,0
7.311,14.551,415.19,8.185,4.993,0.053,0.142,146.152,11.176,1
7.743,12.328,261.019,10.599,1.857,0.017,0.068,118.735,11.401,1
7.407,15.126,404.441,6.84,2.254,0.445,0.072,292.046,7.477,1
11.171,-3.671,501.42,15.769,9.062,-2.815,-4.53,-4.28,-1.782,0
3.314,32.706,-4.075,18.092,6.812,3.375,-4.378,301.869,16.659,0
2.858,-3.154,500.262,14.687,-3.118,4.059,0.384,-0.98,17.578,0
3.084,-1.089,-3.054,15.32,8.031,3.098,0.723,300.229,-2.824,0
5.481,33.043,501.339,4.203,6.58,-3.333,4.619,-4.653,-1.085,0
8.349,4.099,26.982,9.588,1.371,0.113,0.005,154.818,0.279,1
7.675,26.759,125.861,10.995,1.472,0.04,0.186,108.539,2.728,1
8.074,17.173,352.299,6.993,4.828,0.146,0.189,88.873,10.047,1
8.02,13.832,353.64,7.237,1.793,0.078,0.032,39.984,6.497,1
7.137,8.868,467.982,10.073,4.869,0.492,0.192,46.254,7.463,1
13.082,-0.195,-3.331,17.07,9.659,4.196,2.499,-2.787,-1.933,0
8.337,3.805,396.177,8.166,4.864,0.316,0.074,117.293,14.421,1
5.618,-3.098,504.013,1.335,6.065,4.275,-4.09,-2.718,17.907,0
11.359,-2.177,-1.508,0.103,7.396,2.924,-1.737,-4.458,-0.598,0
3.034,-4.387,504.115,14.588,9.836,1.668,-2.035,-3.1,18.179,0
11.832,-0.444,503.589,16.958,-2.782,-2.237,-0.439,301.014,16.812,0
6.789,17.451,430.51,11.454,3.21,0.36,0.039,31.689,11.179,1
2.862,-3.511,-4.873,0.497,5.437,0.899,-2.733,303.091,-4.908,0
8.461,5.772,356.218,7.459,0.652,0.007,0.018,50.524,2.57,1
4.833,-0.47,-3.266,3.698,-3.325,-4.011,3.36,301.702,16.71,0
8.144,18.825,55.285,12.59,0.789,0.17,0.066,51.581,5.593,1
11.348,34.793,500.26,14.466,8.776,3.236,4.457,300.486,17.668,0
5.003,-1.32,503.598,16.539,5.672,-1.765,-1.522,-0.662,-4.044,0
6.952,27.272,270.213,13.059,3.637,0.229,0.008,75.264,1.774,1
13.456,-1.915,503.451,18.052,-2.489,2.154,3.146,-0.309,-3.565,0
7.059,26.363,125.316,10.101,4.141,0.342,0.065,136.324,11.457,1
7.476,1.706,398.326,13.653,4.397,0.429,0.061,144.299,1.334,1
13.247,31.201,501.073,18.612,8.505,-1.046,5.043,303.313,18.617,0
12.334,-0.976,500.962,17.863,-1.595,4.747,4.391,-3.108,18.802,0
7.145,14.844,295.32,11.67,0.416,0.391,0.132,80.274,6.668,1
6.745,5.495,67.355,12.312,3.294,0.09,0.007,131.669,0.947,1
7.592,18.114,3.816,7.607,1.661,0.274,0.065,154.814,14.693,1
4.019,-0.434,502.437,14.363,7.744,5.106,-3.109,-3.319,-3.4,0
13.347,-3.205,502.587,18.763,-3.761,-2.783,-0.943,-2.119,18.21,0
7.68,23.123,372.336,5.158,1.715,0.122,0.162,101.507,4.846,1
11.948,34.28,501.152,17.546,7.303,2.326,-0.989,-1.603,16.72,0
10.447,31.539,504.387,0.703,7.535,-1.629,3.966,-3.622,15.649,0
7.527,19.051,92.323,9.793,0.078,0.337,0.023,166.026,2.915,1
3.302,-0.226,-4.396,16.409,-2.977,-4.838,-2.772,-2.721,16.72,0
8.377,23.661,152.872,7.518,2.71,0.353,0.13,222.983,5.809,1
6.992,2.605,239.336,5.435,1.326,0.228,0.168,23.252,5.037,1
7.508,22.003,302.151,13.003,0.448,0.299,0.093,213.024,9.958,1
3.012,34.928,504.301,3.354,-3.669,-1.48,4.737,300.758,15.304,0
10.839,34.988,502.662,3.485,8.267,3.207,-4.374,-1.011,-1.78,0
7.731,22.42,265.947,12.405,0.814,0.4,0.164,75.863,11.409,1
4.566,-2.969,-1.523,0.274,6.815,4.052,1.432,-1.864,-2.527,0
7.959,14.28,57.55,8.675,3.942,0.225,0.012,89.263,8.594,1
7.594,26.178,238.181,12.959,1.394,0.237,0.193,124.731,6.609,1
5.895,-4.016,501.05,15.119,8.278,-1.864,4.695,300.856,-1.436,0
8.198,12.554,494.636,8.732,4.55,0.219,0.139,28.664,8.657,1
2.867,-1.272,503.983,14.498,8.915,-3.665,0.308,-3.783,-4.657,0
6.843,16.421,318.232,11.024,4.24,0.142,0.046,279.34,6.882,1
2.884,-2.061,501.052,17.718,6.231,-4.977,4.793,302.353,-2.078,0
8.235,17.979,205.513,10.471,3.736,0.019,0.01,286.536,2.259,1
5.712,34.13,503.041,15.849,6.891,4.359,-3.293,303.706,18.271,0
2.387,-3.913,-4.924,3.599,-1.299,2.478,0.913,-0.273,-4.743,0
13.311,-2.44,-4.268,3.298,-3.991,2.429,3.265,-0.379,16.264,0
13.054,34.948,-1.176,3.036,8.376,3.898,3.815,-4.952,-2.736,0
7.198,12.035,267.008,11.007,4.205,0.242,0.071,25.821,2.512,1
8.109,28.06,29.651,6.353,1.981,0.481,0.016,62.689,14.492,1
6.86,5.697,320.697,7.313,4.084,0.337,0.041,61.236,2.926,1
7.141,3.223,106.392,7.738,2.016,0.109,0.035,163.872,9.695,1
6.232,-4.304,503.073,4.181,9.704,-0.865,-2.6,303.521,16.487,0
7.389,13.231,151.979,13.71,1.825,0.153,0.043,200.972,2.473,1
9.38,34.289,-3.844,4.339,-4.599,-1.849,-1.537,-4.233,-1.173,0
8.01,25.202,125.794,6.253,4.507,0.147,0.158,191.393,4.206,1
8.611,31.142,-1.701,4.008,-3.193,3.591,-0.731,-2.563,19.494,0
4.857,32.891,500.787,14.645,-2.694,2.837,-4.361,304.711,15.377,0
3.351,-0.535,-2.069,14.477,-2.202,-0.549,0.522,304.996,-0.284,0
8.295,26.532,217.864,11.009,4.334,0.022,0.082,146.76,7.487,1
6.362,33.468,-4.406,15.608,-0.425,3.23,4.378,303.381,16.606,0
4.753,31.423,-2.788,15.812,-3.853,3.376,-1.348,-0.5,17.908,0
7.986,16.154,110.523,5.537,4.317,0.145,0.09,287.673,8.295,1
9.402,30.292,-3.082,14.57,-1.987,1.7,0.778,304.258,-4.812,0
6.992,15.882,231.208,9.829,0.218,0.483,0.061,87.802,7.774,1
7.107,4.596,54.66,5.324,4.775,0.156,0.002,18.942,1.375,1
8.03,11.109,419.157,9.351,4.317,0.082,0.158,270.355,8.258,1
4.732,31.68,-1.921,15.522,6.097,2.818,-4.849,-0.64,17.23,0
7.254,26.262,376.423,7.674,2.963,0.486,0.074,104.644,12.321,1
9.96,34.85,503.495,3.18,-0.273,-2.549,5.081,302.907,-3.119,0
12.407,30.503,504.586,14.284,7.827,-2.505,-2.218,-1.038,-3.384,0
4.481,-0.796,500.954,4.505,6.004,4.814,-2.144,-2.269,16.604,0
7.073,19.901,311.566,5.229,1.908,0.247,0.146,194.9,0.112,1
7.817,20.645,477.842,10.277,0.841,0.09,0.108,92.099,6.747,1
2.36,-0.272,500.978,15.441,8.944,1.73,0.41,304.837,15.976,0
11.639,30.208,500.25,4.172,-3.122,-3.057,-4.757,-3.19,19.272,0
4.378,-1.956,502.787,2.458,-1.515,-0.373,-1.982,-3.387,-1.631,0
4.233,34.913,-0.175,14.682,7.568,1.237,0.796,-3.103,-4.05,0
8.343,12.042,457.775,6.888,2.346,0.392,0.151,106.124,13.502,1
2.271,32.448,501.041,0.447,-4.943,3.949,-3.455,300.998,15.718,0
7.377,15.646,362.174,10.853,2.721,0.36,0.021,253.994,13.444,1
4.777,31.959,503.28,3.486,-1.547,-2.207,3.031,304.874,17.78,0
4.819,30.662,503.774,3.033,-3.03,-0.279,-1.19,300.13,-2.722,0
7.248,17.831,289.325,8.607,2.583,0.109,0.094,28.291,5.024,1
6.982,22.76,68.211,12.561,3.066,0.466,0.132,33.622,13.401,1
2.463,-4.876,500.753,0.734,-0.921,3.734,3.265,-1.341,17.916,0
7.539,11.906,270.679,7.733,4.683,0.402,0.115,224.32,10.412,1
12.801,-2.026,-3.605,4.019,6.914,-3.574,2.764,-3.805,-1.55,0
8.67,33.328,-3.221,2.38,-4.12,-2.177,2.58,304.086,-3.719,0
11.625,-3.012,502.881,1.1,-2.812,3.509,5.127,303.884,15.127,0
6.6,23.809,411.941,13.84,2.709,0.3,0.15,66.013,12.805,1
6.784,9.557,42.144,11.44,2.794,0.32,0.125,261.604,5.442,1
1.653,-0.96,503.198,3.56,6.668,4.837,-2.559,300.948,-2.412,0
12.796,32.106,-2.445,3.618,9.046,5.009,4.748,303.43,-2.136,0
5.113,-1.103,-3.969,14.266,6.652,3.126,-2.636,303.491,-1.486,0
12.062,30.751,-3.227,17.955,5.315,2.034,3.418,303.971,-3.477,0
2.95,-0.735,503.185,1.474,-4.882,5.141,1.979,-1.888,17.586,0
7.356,19.768,116.452,6.641,1.168,0.016,0.008,259.403,9.296,1
7.319,0.752,443.602,10.31,1.56,0.212,0.007,80.917,1.453,1
3.224,-4.194,504.304,4.433,-4.668,2.987,1.809,-4.757,-3.583,0
6.004,30.55,501.247,17.373,5.782,-4.107,5.063,-1.221,19.719,0
10.578,34.284,500.21,1.152,5.622,4.097,2.58,303.178,-4.509,0
6.256,31.25,500.751,3.768,5.672,-1.285,-3.173,-2.648,-1.191,0
7.659,21.381,182.522,6.04,0.986,0.29,0.107,140.627,4.869,1
9.259,-2.026,503.417,18.671,-0.246,2.999,-4.351,302.495,-2.394,0
4.883,33.945,504.314,2.399,-4.288,4.256,-4.206,-2.707,-4.463,0
5.23,34.917,-4.729,3.544,-0.276,4.909,4.243,-2.32,-0.604,0
7.396,18.0,369.359,12.847,2.231,0.419,0.113,206.664,14.101,1
7.579,13.784,351.749,10.45,1.692,0.158,0.195,127.753,1.619,1
2.027,30.593,-4.007,1.269,-2.523,4.901,3.097,-2.477,19.992,0
11.336,-1.152,-1.239,0.737,5.868,5.338,2.417,-0.745,15.54,0
6.848,6.53,82.376,8.9,4.206,0.328,0.037,259.976,7.727,1
8.106,18.936,35.797,9.878,2.029,0.033,0.012,192.908,7.772,1
7.517,4.352,297.475,7.748,4.243,0.488,0.141,186.51,2.626,1
7.032,25.526,485.467,12.477,1.561,0.32,0.092,249.127,10.404,1
6.807,23.547,385.391,11.301,0.743,0.234,0.168,66.988,9.377,1
7.613,20.784,118.326,13.456,3.014,0.442,0.054,5.887,0.915,1
7.588,0.667,341.066,8.46,2.69,0.185,0.171,191.421,12.379,1
6.359,31.625,-0.115,16.529,-4.634,4.856,1.328,-2.878,18.196,0
9.811,31.192,504.934,2.116,-1.738,-3.739,4.354,301.762,15.304,0
7.919,27.875,216.837,5.818,1.772,0.483,0.194,272.541,7.257,1
7.137,13.248,370.356,9.157,1.383,0.054,0.114,99.61,7.092,1
7.094,15.085,411.708,7.191,0.531,0.47,0.141,97.537,7.576,1
7.544,15.033,392.893,7.003,4.545,0.03,0.148,256.069,8.324,1
7.403,14.753,263.155,12.043,1.966,0.19,0.173,169.327,2.424,1
8.89,-3.468,-1.646,18.497,-4.596,-4.613,-0.638,-1.935,-1.957,0
3.506,32.644,-2.917,3.63,-4.123,3.414,0.969,303.842,-0.873,0
5.976,30.447,504.635,1.926,-1.443,-1.458,-1.718,302.558,19.506,0
7.575,10.85,458.108,9.777,2.114,0.34,0.096,134.112,10.637,1
5.744,-1.164,-0.12,4.637,5.437,4.946,-3.515,-1.518,-4.85,0
1.511,31.026,503.107,18.998,-2.296,-1.812,2.807,-3.323,19.05,0
7.189,16.958,97.28,8.742,2.401,0.051,0.091,75.539,8.47,1
9.944,34.088,-0.33,2.906,6.062,1.658,-1.762,304.375,19.877,0
11.256,-1.968,504.912,17.443,7.562,4.583,2.645,-2.955,-1.865,0
5.873,30.881,-4.011,15.132,8.906,5.155,4.955,-3.117,17.627,0
6.046,34.831,501.896,2.272,7.394,-1.323,1.469,-0.65,-4.794,0
6.899,11.491,364.731,5.963,1.568,0.137,0.031,251.973,3.666,1
9.355,31.357,504.735,1.636,-3.022,-2.988,-0.555,303.733,-2.476,0
5.146,-0.771,504.119,15.809,6.991,-1.782,2.357,-0.559,-2.878,0
13.263,31.628,-4.826,1.832,8.015,5.227,-4.556,-1.87,18.411,0
6.534,8.478,8.82,6.51,4.773,0.046,0.088,208.659,11.437,1
7.631,28.309,266.882,10.396,1.764,0.434,0.067,251.283,5.625,1
4.726,33.348,-0.157,2.221,7.146,-0.344,-2.295,-4.473,18.974,0
7.761,4.122,290.298,6.518,2.464,0.405,0.065,39.999,3.397,1
1.683,-4.267,-2.341,1.789,-0.932,-0.723,2.034,302.212,19.605,0
6.624,4.773,258.747,13.673,4.197,0.455,0.147,290.4,3.285,1
8.338,28.123,254.336,5.412,1.908,0.23,0.193,127.419,11.477,1
13.461,-4.581,501.029,18.13,7.549,2.173,-1.154,-0.779,-3.455,0
6.647,20.192,46.607,6.538,3.344,0.318,0.16,45.373,8.376,1
11.017,33.042,-3.332,3.571,-4.95,3.932,4.063,-3.119,-3.86,0
7.549,2.276,355.797,8.365,0.295,0.141,0.049,22.882,4.725,1
7.13,27.989,170.776,6.799,2.628,0.342,0.02,110.072,5.483,1
3.286,30.73,-1.48,2.968,5.734,2.477,-1.351,302.365,17.047,0
6.635,18.653,315.503,6.798,4.036,0.489,0.194,119.779,0.56,1
6.878,17.207,446.95,12.422,0.369,0.097,0.167,186.74,9.005,1
3.976,31.545,500.278,16.679,-3.315,-0.134,-3.118,-0.647,-3.514,0
6.858,27.879,295.251,5.61,4.627,0.403,0.111,156.904,1.492,1
7.879,12.285,19.954,13.71,3.765,0.368,0.024,73.224,5.322,1
4.681,34.168,-0.91,1.664,-4.303,-2.204,1.671,300.327,-2.679,0
8.085,14.258,461.953,9.306,4.353,0.076,0.023,14.543,4.579,1
7.715,8.869,426.532,13.344,0.244,0.124,0.146,271.292,14.407,1
8.321,6.521,59.579,8.823,2.961,0.458,0.115,66.462,8.299,1
2.818,-0.902,503.501,16.829,-2.966,4.284,2.208,303.469,15.885,0
11.815,34.604,-2.904,15.221,5.225,-2.61,-0.285,304.276,-1.094,0
1.644,-2.051,504.337,0.719,8.432,3.071,-1.84,300.818,-4.138,0
7.03,14.616,53.557,7.281,2.582,0.104,0.132,108.852,10.136,1
9.735,-1.574,500.511,14.83,6.413,-3.975,-4.712,302.415,-3.695,0
8.057,29.959,178.657,9.347,0.923,0.099,0.034,93.832,3.894,1
7.187,15.926,410.576,12.661,4.537,0.079,0.149,281.461,14.565,1
6.047,-2.531,504.069,16.568,-4.983,3.849,-2.083,-4.668,-2.116,0
2.644,31.738,504.95,18.742,-4.477,-1.877,1.718,302.934,17.095,0
6.101,31.442,-0.761,2.011,7.953,2.995,-4.558,-1.346,-0.571,0
7.583,20.56,194.963,8.446,4.247,0.091,0.069,286.543,7.448,1
1.978,30.162,502.575,4.284,-4.408,-4.374,-4.443,-2.927,16.92,0
7.32,14.567,86.412,9.956,2.926,0.169,0.07,85.696,6.743,1
9.895,-0.689,-1.597,18.33,-1.623,5.441,0.396,302.032,-1.375,0
7.473,16.756,430.584,11.335,4.722,0.043,0.162,246.526,8.769,1
12.186,-3.794,-3.02,16.363,-3.783,2.419,4.11,300.724,18.058,0
9.314,33.596,-4.389,16.32,9.651,1.501,-2.086,302.374,17.689,0
7.381,28.854,349.191,10.452,1.899,0.213,0.009,274.022,5.603,1
9.197,-0.53,-2.806,0.655,9.824,-3.736,-1.429,-3.885,-1.924,0
6.839,24.404,278.275,9.393,2.9,0.464,0.148,8.049,14.97,1
8.252,9.702,258.389,13.66,0.68,0.414,0.155,259.886,9.847,1
2.679,-2.115,-1.684,3.218,7.867,1.67,-0.902,301.517,-0.849,0
2.037,-1.19,-4.886,15.883,-3.035,-3.895,1.778,304.5,18.55,0
4.046,-1.45,-4.021,4.612,6.006,2.505,-0.689,303.34,15.515,0
7.716,9.938,221.169,10.463,1.396,0.069,0.087,204.816,13.92,1
6.775,10.652,12.956,10.57,2.178,0.444,0.065,164.839,8.147,1
7.498,5.06,442.838,10.998,3.606,0.201,0.149,216.192,9.455,1
9.872,33.034,501.289,18.996,9.138,4.438,2.616,304.853,-4.635,0
6.852,28.575,464.188,12.377,3.787,0.215,0.092,18.171,14.062,1
5.669,-4.681,501.455,2.578,-4.769,1.285,-4.659,-4.917,19.593,0
3.488,30.944,502.524,4.413,-2.895,5.182,-1.678,-1.694,-2.493,0
7.814,19.989,446.535,7.174,1.895,0.199,0.163,98.829,2.71,1
9.604,30.926,-3.656,16.802,-0.774,-4.191,-3.263,300.919,-1.64,0
6.35,-2.768,504.38,17.915,-0.373,5.423,2.975,-1.509,-1.058,0
6.666,23.401,150.972,6.469,2.64,0.017,0.106,134.828,5.226,1
8.212,14.695,342.031,7.422,0.967,0.29,0.171,97.071,10.568,1
6.662,21.974,235.693,7.155,4.067,0.355,0.129,187.868,7.4,1
7.626,0.703,256.186,12.419,3.518,0.28,0.136,35.917,12.829,1
3.747,34.285,-2.75,1.744,7.889,-4.871,4.468,-3.431,-2.068,0
7.187,6.292,359.892,6.08,4.477,0.072,0.12,2.863,8.083,1
8.48,5.965,147.26,13.108,4.406,0.13,0.144,265.181,9.678,1
4.698,-3.691,-0.659,18.226,5.346,2.502,0.69,-3.333,-0.736,0
9.396,32.402,504.705,17.205,-4.7,-2.922,3.557,-0.596,-4.259,0
4.618,-4.458,-3.407,0.302,-1.103,4.056,-0.591,303.031,-2.891,0
7.685,14.156,38.005,7.056,1.943,0.308,0.078,136.381,2.973,1
4.919,-2.549,503.367,14.845,5.611,-1.067,3.185,-4.75,19.782,0
6.562,2.797,460.439,7.814,0.979,0.097,0.097,93.744,4.201,1
2.725,-2.725,503.763,17.801,-0.445,1.161,-0.205,-0.277,15.344,0
2.413,-4.234,501.408,18.172,-0.15,-0.818,-4.868,302.454,-0.21,0
5.579,-1.361,-0.589,14.924,8.085,-1.614,1.083,-4.715,15.305,0
9.821,-3.459,501.589,4.137,7.259,3.253,3.474,-2.043,-1.06,0
7.079,19.294,375.639,10.007,4.448,0.024,0.075,115.706,9.506,1
7.102,22.523,490.627,11.103,1.161,0.304,0.073,297.272,13.043,1
7.452,11.479,361.711,7.547,4.908,0.38,0.048,32.09,6.746,1
13.025,-1.903,-1.715,16.96,8.979,4.804,-0.564,-3.498,18.582,0
8.316,11.618,17.007,12.815,4.861,0.224,0.12,205.358,1.862,1
4.96,33.949,-4.737,1.963,-3.498,-3.923,-3.599,303.421,16.365,0
6.607,27.343,212.51,9.06,2.605,0.455,0.118,15.166,5.032,1
7.489,7.882,224.215,6.676,0.936,0.277,0.115,270.211,7.951,1
10.244,31.287,502.655,18.542,7.778,2.813,3.352,300.852,17.125,0
5.527,-0.981,503.707,14.492,-2.218,-3.916,2.743,304.834,19.213,0
6.674,18.734,19.02,6.79,2.05,0.381,0.162,73.26,12.183,1
7.824,20.327,3.325,6.996,2.496,0.039,0.015,250.802,8.909,1
6.557,5.518,275.455,6.458,0.443,0.302,0.108,46.196,5.793,1
7.193,4.353,262.358,13.923,3.892,0.144,0.182,47.544,4.621,1
7.252,23.714,176.266,8.727,4.901,0.489,0.041,197.723,8.524,1
2.498,-2.638,503.322,0.263,-0.24,-3.168,-2.114,-2.43,-3.043,0
3.294,-1.831,503.773,1.35,-3.604,-0.342,-1.565,-3.665,-4.051,0
8.256,12.296,389.822,6.664,4.341,0.164,0.012,225.837,0.605,1
7.056,2.638,334.96,5.048,0.306,0.155,0.176,127.203,10.126,1
7.135,23.683,105.62,9.486,1.904,0.097,0.135,226.294,8.173,1
7.175,2.555,225.291,6.987,2.488,0.014,0.018,72.885,12.692,1
3.491,-2.721,-1.247,18.84,9.178,4.793,1.841,-2.593,16.144,0
6.377,33.037,-0.307,3.869,-2.39,-1.931,1.917,301.081,-3.141,0
7.965,26.564,338.473,13.827,2.95,0.069,0.093,193.534,13.848,1
1.957,31.62,-2.206,16.978,-1.524,3.432,0.308,-1.607,15.148,0
2.585,-0.596,-2.357,15.954,-4.469,0.682,1.278,-2.234,-1.49,0
8.306,27.923,402.938,5.141,2.152,0.377,0.035,268.562,7.847,1
8.16,26.958,401.318,12.873,1.155,0.065,0.026,249.189,6.056,1
8.218,16.346,237.483,10.495,1.059,0.079,0.009,27.914,6.452,1
12.644,32.777,-2.429,2.753,-1.923,5.226,-4.452,304.873,-4.011,0
4.993,31.287,-3.572,16.749,-2.492,-4.554,4.274,302.919,-1.325,0
7.701,9.002,493.985,12.728,4.848,0.049,0.167,81.976,0.416,1
4.496,-4.884,501.296,1.295,-4.806,0.966,3.181,302.16,-2.526,0
7.078,19.779,472.301,9.392,0.26,0.264,0.192,182.891,3.017,1
8.002,14.031,321.636,9.103,0.601,0.319,0.011,74.229,14.737,1
6.563,9.013,265.657,10.871,3.365,0.493,0.189,158.002,11.665,1
8.431,0.506,342.958,5.635,3.806,0.459,0.15,182.887,8.39,1
2.836,34.474,-3.755,1.169,-3.509,2.271,-3.227,301.112,15.415,0
2.524,32.677,502.007,1.004,-3.445,4.229,4.666,-3.538,-0.571,0
2.994,-4.485,-3.594,15.518,9.56,-3.673,-1.256,-4.469,-2.538,0
6.208,-4.016,503.045,15.872,-4.067,5.482,3.333,300.657,-2.846,0
6.783,22.601,64.807,6.08,3.676,0.48,0.13,275.244,10.723,1
7.896,1.891,75.567,13.038,0.491,0.474,0.134,191.138,4.048,1
7.484,10.645,289.43,11.974,3.242,0.253,0.167,17.502,2.536,1
9.601,-3.491,-0.179,2.239,-1.493,-3.043,4.138,300.722,16.031,0
9.351,31.193,-0.551,15.003,-1.597,-1.935,-4.739,-0.787,15.94,0
11.174,-4.803,501.543,15.455,7.37,0.813,-4.834,300.839,16.193,0
2.758,-1.862,-0.482,3.993,-4.392,-3.449,4.129,302.762,-0.146,0
7.555,29.7,425.906,5.507,0.713,0.126,0.05,237.01,14.725,1
11.93,-2.673,503.027,1.232,-0.998,3.875,2.704,-3.446,18.314,0
7.927,23.461,253.916,10.404,0.501,0.274,0.166,47.46,9.775,1
8.264,18.915,190.455,10.722,4.133,0.247,0.035,162.239,2.328,1
7.575,1.56,175.376,6.292,0.982,0.443,0.07,222.078,11.701,1
13.351,-0.717,502.699,18.009,-3.931,0.998,-3.814,-2.682,19.487,0
10.006,31.08,-1.631,16.393,-3.893,1.291,-3.0,300.387,-4.332,0
7.046,7.009,41.174,8.599,1.19,0.092,0.189,264.061,0.966,1
8.245,4.885,292.605,7.358,0.976,0.355,0.085,182.402,1.07,1
9.334,33.211,500.428,18.583,9.343,5.075,-4.927,300.469,-1.976,0
4.735,30.214,504.378,1.464,-2.113,-2.09,-1.429,300.974,16.407,0
10.108,-0.132,500.983,1.117,-2.928,4.715,4.555,300.817,-3.334,0
5.357,-3.54,502.885,16.72,-4.204,4.399,3.943,300.833,-0.747,0
4.515,-1.827,-3.202,1.091,6.038,5.454,-3.327,301.95,-0.979,0
7.425,6.121,221.081,5.846,4.69,0.189,0.04,224.31,12.819,1
8.146,22.117,27.84,12.673,2.808,0.449,0.147,245.452,6.34,1
11.322,30.43,503.864,1.043,5.549,1.822,1.736,303.492,-1.155,0
